text,label
Monthly statement available at https://microsoft.com,0
Your order is confirmed on https://microsoft.com,0
Visit our official site for updates: https://google.com,0
Class notice posted at https://amazon.in,0
Payment failed. Retry here: http://gift-claim.org/pk1dat5s,1
KYC pending for Netflix. Update immediately at https://verify-login.net/97qv8ttl,1
Your Google account is locked. Verify now: http://pay-now.in/qljoko93,1
Your SBI account is locked. Verify now: http://gift-claim.org/zcbc0h7d,1
Payment failed. Retry here: http://trackparcel.in/ur3oaw88,1
Your order is confirmed on https://college.edu,0
Meeting link shared on portal. See https://amazon.in,0
KYC pending for Google. Update immediately at https://account-check.net/knyrvb5i,1
Payment failed. Retry here: http://verify-login.net/75ln0pxf,1
Your Flipkart account is locked. Verify now: http://secure-update.co/csdfkv6m,1
Courier fee ₹49 pending. Pay now: http://gift-claim.org/s0renjr2,1
Visit our official site for updates: https://college.edu,0
Class notice posted at https://college.edu,0
Your Flipkart account is locked. Verify now: http://gift-claim.org/uo3jfuzt,1
Meeting link shared on portal. See https://microsoft.com,0
Monthly statement available at https://college.edu,0
Meeting link shared on portal. See https://college.edu,0
Courier fee ₹49 pending. Pay now: http://account-check.net/wqist5an,1
You won a reward from Amazon! Claim: https://pay-now.in/09rapa0h,1
Visit our official site for updates: https://company.com,0
You won a reward from Google! Claim: https://verify-login.net/6xyxehkt,1
Payment failed. Retry here: http://secure-update.co/cnx5r9nt,1
You won a reward from Netflix! Claim: https://account-check.net/iispaz3a,1
Your Flipkart account is locked. Verify now: http://gift-claim.org/u3vw2l0x,1
Payment failed. Retry here: http://account-check.net/8itgi989,1
KYC pending for HDFC. Update immediately at https://gift-claim.org/qrg7qoj9,1
Visit our official site for updates: https://company.com,0
Meeting link shared on portal. See https://irctc.co.in,0
You won a reward from ICICI! Claim: https://trackparcel.in/cgiyp86m,1
Meeting link shared on portal. See https://microsoft.com,0
Payment failed. Retry here: http://account-check.net/qzulj5z4,1
Your order is confirmed on https://microsoft.com,0
Meeting link shared on portal. See https://google.com,0
Your Amazon account is locked. Verify now: http://account-check.net/45ck6zva,1
Visit our official site for updates: https://microsoft.com,0
Visit our official site for updates: https://amazon.in,0
Visit our official site for updates: https://company.com,0
KYC pending for HDFC. Update immediately at https://account-check.net/ejtltx8n,1
Visit our official site for updates: https://company.com,0
Courier fee ₹49 pending. Pay now: http://trackparcel.in/simk2je1,1
Monthly statement available at https://college.edu,0
KYC pending for SBI. Update immediately at https://secure-update.co/tj04r8h8,1
Class notice posted at https://company.com,0
Courier fee ₹49 pending. Pay now: http://verify-login.net/50v045fg,1
Meeting link shared on portal. See https://google.com,0
Visit our official site for updates: https://microsoft.com,0
Visit our official site for updates: https://irctc.co.in,0
Visit our official site for updates: https://microsoft.com,0
Courier fee ₹49 pending. Pay now: http://pay-now.in/fng53fp9,1
Monthly statement available at https://google.com,0
Your HDFC account is locked. Verify now: http://verify-login.net/9mxd6ik0,1
Payment failed. Retry here: http://secure-update.co/quowb5ss,1
Monthly statement available at https://microsoft.com,0
You won a reward from Flipkart! Claim: https://account-check.net/09trl81t,1
Payment failed. Retry here: http://pay-now.in/m3tnf4b8,1
Payment failed. Retry here: http://trackparcel.in/8vt84kv6,1
Courier fee ₹49 pending. Pay now: http://secure-update.co/j49h876a,1
Meeting link shared on portal. See https://google.com,0
Class notice posted at https://microsoft.com,0
KYC pending for Netflix. Update immediately at https://trackparcel.in/o819mdg8,1
Payment failed. Retry here: http://verify-login.net/ls0vqxfw,1
KYC pending for HDFC. Update immediately at https://gift-claim.org/8a96g8wu,1
Monthly statement available at https://microsoft.com,0
Class notice posted at https://irctc.co.in,0
Your order is confirmed on https://irctc.co.in,0
You won a reward from Microsoft! Claim: https://verify-login.net/0b64ard8,1
Your ICICI account is locked. Verify now: http://trackparcel.in/c1ensqmx,1
Monthly statement available at https://college.edu,0
You won a reward from Amazon! Claim: https://secure-update.co/3p0liz7m,1
Your Flipkart account is locked. Verify now: http://secure-update.co/rxkrkl6i,1
Visit our official site for updates: https://amazon.in,0
Your order is confirmed on https://company.com,0
Monthly statement available at https://company.com,0
Courier fee ₹49 pending. Pay now: http://secure-update.co/x24csz09,1
You won a reward from WhatsApp! Claim: https://account-check.net/qq6ydak8,1
Visit our official site for updates: https://irctc.co.in,0
Payment failed. Retry here: http://account-check.net/xbxjsf1d,1
Class notice posted at https://amazon.in,0
KYC pending for SBI. Update immediately at https://secure-update.co/njmemhjo,1
Your order is confirmed on https://company.com,0
Visit our official site for updates: https://college.edu,0
Your SBI account is locked. Verify now: http://trackparcel.in/w0gq32qn,1
Class notice posted at https://irctc.co.in,0
Your order is confirmed on https://microsoft.com,0
Class notice posted at https://irctc.co.in,0
Courier fee ₹49 pending. Pay now: http://account-check.net/p5v9vctu,1
Your Paytm account is locked. Verify now: http://gift-claim.org/uzkwlh9e,1
Meeting link shared on portal. See https://college.edu,0
Meeting link shared on portal. See https://college.edu,0
Class notice posted at https://college.edu,0
KYC pending for SBI. Update immediately at https://pay-now.in/fhbqjq0d,1
You won a reward from Netflix! Claim: https://account-check.net/sk00mx1a,1
Meeting link shared on portal. See https://google.com,0
Your order is confirmed on https://amazon.in,0
Courier fee ₹49 pending. Pay now: http://account-check.net/guv4rz1f,1
Monthly statement available at https://google.com,0
Visit our official site for updates: https://amazon.in,0
Monthly statement available at https://google.com,0
Visit our official site for updates: https://company.com,0
Your Flipkart account is locked. Verify now: http://pay-now.in/6whf9l52,1
KYC pending for Netflix. Update immediately at https://gift-claim.org/t7n4ofb2,1
Monthly statement available at https://microsoft.com,0
You won a reward from SBI! Claim: https://trackparcel.in/3h4o4zb5,1
Your order is confirmed on https://company.com,0
Your order is confirmed on https://microsoft.com,0
Courier fee ₹49 pending. Pay now: http://gift-claim.org/ajl3i5bc,1
Your Microsoft account is locked. Verify now: http://secure-update.co/wgdfz11i,1
Visit our official site for updates: https://company.com,0
Courier fee ₹49 pending. Pay now: http://secure-update.co/a53j1zou,1
Visit our official site for updates: https://microsoft.com,0
Class notice posted at https://company.com,0
KYC pending for HDFC. Update immediately at https://pay-now.in/zrfj86je,1
Payment failed. Retry here: http://gift-claim.org/3ya5r2rp,1
Your Netflix account is locked. Verify now: http://gift-claim.org/gkn9apv7,1
Monthly statement available at https://microsoft.com,0
Payment failed. Retry here: http://trackparcel.in/450i3521,1
KYC pending for ICICI. Update immediately at https://verify-login.net/x6jp7niu,1
Monthly statement available at https://irctc.co.in,0
Your Amazon account is locked. Verify now: http://gift-claim.org/s3vo9qu7,1
Class notice posted at https://amazon.in,0
Payment failed. Retry here: http://gift-claim.org/0e9jnwg3,1
Meeting link shared on portal. See https://company.com,0
You won a reward from Microsoft! Claim: https://secure-update.co/uo3k5j08,1
Courier fee ₹49 pending. Pay now: http://pay-now.in/19vbyd5u,1
Payment failed. Retry here: http://trackparcel.in/d4qns747,1
You won a reward from Netflix! Claim: https://verify-login.net/yjnze6fn,1
KYC pending for Flipkart. Update immediately at https://secure-update.co/9pldkqd4,1
Monthly statement available at https://google.com,0
Your Google account is locked. Verify now: http://pay-now.in/a7awirrp,1
